Question,Answer
How many days do we have in a week?,Seven
How many days are there in a normal year?,365 (not a leap year)
How many colors are there in a rainbow?,7
Which animal is known as the ‘Ship of the Desert?’,Camel
How many letters are there in the English alphabet?,26
How many consonants are there in the English alphabet?,21
How many sides are there in a triangle?,Three
Which month of the year has the least number of days?,February
Which are the vowels in the English alphabet series?,"A, E, I, O, U"
Which animal is called King of Jungle?,Lion
How many primary colors are there?,"Three (red, yellow, blue)"
How many days are there in the month of February in a leap year?,29 days
What do you call a house made of ice?,Igloo
Which is the largest animal in the world?,Blue whale
Which is the tallest animal on the earth?,Giraffe
Which festival is known as the festival of colors?,Holi
Which festival is called the festival of light?,Diwali
What is the top color in a rainbow?,Red
What type of bird lays the largest eggs?,Ostrich
Which festival is known as the ‘Festival of flowers’?,Onam
In which direction does the sunrise?,East
Which is the world’s largest flower?,Rafflesia
How many zeros are there in one hundred thousand?,Five
How many hours are there in two days?,48 hours (24+24)
How many months of the year have 31 days?,"7 (January, March, May, July, August, October and December)"
How many weeks are there in one year?,52
Which are the colors in a rainbow?,"Violet, Indigo, Blue, Green, Yellow, Orange, Red"
How many bones does an adult human have?,206
Who was the first man to walk on the moon?,Neil Armstrong
How many millimeters are there in 1cm?,10
Which is the nearest star to planet earth?,Sun
Which is the longest river on the earth?,Nile
Which is the principal source of energy for earth?,Sun
How many lungs does the human body have?,Two
What is the standard taste of the water?,Water is tasteless
Which is the tallest mountain in the world?,Mount Everest
Which is the fastest animal on the land?,Cheetah
Which continent is known as ‘Dark’ continent?,Africa
Which planet is known as the Red Planet?,Mars
Which is the most sensitive organ in our body?,Skin
Which is the largest ocean in the world?,Pacific Ocean
Which day is observed as World Environment Day?,Jun-05
How many years are there in a century?,One Hundred
Which is the largest country in the world?,Russia (By area)
Who invented the Computer?,Charles Babbage
How many players are there in a cricket team?,11
Which day is observed as World Literacy Day?,Sep-08
Who is the inventor of Radio?,Marconi
Which place is known as the roof of the world?,Tibet
How many teeth does a healthy adult have including the wisdom teeth?,32
Which gas is most abundant in the earth’s atmosphere?,Nitrogen
How many people are there in the world?,Over 7 billion
Which is the continent with the most number of countries?,Africa
Which is the most common non-contagious disease in the world?,Tooth Decay
How many strings does a violin have?,Four
